open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,6,-1,1
0,0,0,0,-1,0,-1,-1,2,0,0,0,0,0,0,3,21,2,0
0,0,-1,0,1,0,1,1,-2,0,0,0,0,0,0,1,20,-1,1
0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,1,2,8,0,1
0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,3,9,1,0
0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,1,2,17,0,0
0,0,0,0,-1,0,0,-1,2,-1,0,0,0,0,0,3,23,4,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,5,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0
0,-1,0,0,0,0,0,-1,2,0,0,0,0,0,0,2,15,0,0
0,0,-1,0,1,0,-1,-1,-2,0,0,0,0,0,0,1,21,2,0
0,0,0,0,0,0,-2,0,2,-1,0,-1,0,0,1,2,18,-1,1
0,0,0,0,-1,0,0,2,1,1,0,-1,0,0,0,4,24,-1,1
0,0,-1,0,1,0,-2,0,-3,1,0,-1,-1,0,0,1,25,2,0
0,0,0,0,-1,0,0,0,-2,0,0,0,0,0,0,4,13,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0
0,0,0,0,-1,0,-1,1,1,1,0,-1,0,0,0,5,22,-2,1
0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,2,7,-1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0,1
0,0,-1,0,0,-1,0,0,-2,0,0,1,-1,0,0,1,27,0,0
0,-1,0,0,1,0,0,-2,-1,-1,0,1,0,0,0,1,23,2,0
0,0,0,0,-1,0,0,0,3,0,0,0,0,0,0,2,6,0,1
0,0,0,0,-1,1,-1,0,2,0,0,-1,1,0,0,7,28,1,1
0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,5,0,0
0,0,-1,0,-1,0,0,0,-2,1,0,1,0,0,0,1,17,2,0
0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1,11,0,0
0,0,0,0,-1,0,1,0,2,0,0,0,1,0,0,2,26,0,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,-4,2,-1,0,0,0,1,0,15,-1,0
0,0,0,0,0,0,-1,0,2,-1,0,-1,0,0,1,0,16,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,14,3,1
0,0,0,0,-1,0,0,-1,-2,1,0,0,0,0,0,2,19,1,0
0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,4,9,-1,0
0,0,0,0,-1,0,1,1,1,-1,0,0,0,0,0,7,20,0,1
0,0,0,0,-1,1,2,-1,-1,-1,0,0,0,0,0,8,19,-2,1
0,0,0,0,-1,0,2,0,-1,-1,0,1,0,0,0,4,17,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,12,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0
0,0,0,-1,1,-1,-4,0,1,1,0,0,0,0,0,1,18,3,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,1
0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,3,7,0,1
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,10,1,0
0,-1,0,0,1,0,-2,0,1,0,0,-1,0,0,0,1,16,2,0
0,0,0,0,-1,2,3,-2,-1,0,0,-1,1,0,0,12,23,0,1
0,0,0,0,-1,1,4,-2,0,-1,0,1,1,0,0,7,21,-2,1
0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,1,8,1,0
0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,2,13,-3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,9,0,1
0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,6,0,0
0,0,0,-1,1,-1,-6,0,0,1,0,-1,-1,0,0,1,20,2,0
0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,-1,1
0,0,-1,0,0,-2,-5,2,1,1,0,0,-1,0,0,2,22,2,0
0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,5,2,1
